"id","station_code","station_name","latitude","longitude","level"
47,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/NAmW5KR5wQx","Masera Clinic",NULL,NULL,4
48,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/OAq1i8fDht3","Makombe Clinic ",NULL,NULL,4
49,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/oDmbYIOSipy","Makakabule Rural Health Centre",NULL,NULL,4
50,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/OF8acIjcyKQ","Chamunangana Clinic",NULL,NULL,4
51,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/ooCbPaLKfGV","Mtetengwe Clinic",NULL,NULL,4
52,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/pNbIgW9kn5C","Chituripasi Rural Health Centre",NULL,NULL,4
53,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/qusMEMLJjQi","Tshabili clinic",NULL,NULL,4
54,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/RHrm9PxyBYg","Malabe Health Post",NULL,NULL,4
55,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/rpej7yiXTfc","Beitbridge Wellness Clinic Private Clinic",NULL,NULL,4
56,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/RvZ2KNZoPql","Shabwe Rural Health Centre",NULL,NULL,4
57,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/T9MjXsATFab","Zezane Clinic",NULL,NULL,4
58,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/tPS02lV0yjF","Swereki Clinic",NULL,NULL,4
60,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/xg2duO1UjSL","Shashe Clinic",NULL,NULL,4
61,"/Z9zOAr1dQ8K/kUS61oPWPF9/E6B1ltaZQm3/Z7Wzn53893G","Nottingham Rural Health Centre",NULL,NULL,4
62,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr","Gwanda",NULL,NULL,3
63,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/A4cvoTFnkVd","Sitezi clinic",NULL,NULL,4
64,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/B7i3EGdTPnj","Buvuma Clinic",NULL,NULL,4
65,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/bB4csCSIDEn","Garanyemba Clinic",NULL,NULL,4
66,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/CPy6XjJD08i","Nhwali Rural Health Centre",NULL,NULL,4
67,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/cUPFcuov2Fc","West Nicolson Clinic",NULL,NULL,4
68,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/fqYJ8EfOnTe","Manama Mission Hospital",NULL,NULL,4
69,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/IVZFwtiwLgU","Mtshabezi Mission Hospital",NULL,NULL,4
70,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/KlVFxBUmMPa","Gungwe Rural Health Centre",NULL,NULL,4
71,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/KOtS4LirnJo","Mzimuni Clinic",NULL,NULL,4
72,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/lq1a53Zl3Gn","Silkwe Rural Health centre",NULL,NULL,4
73,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/Lv590WIYBnO","Simbumbumbu Rural Health Centre",NULL,NULL,4
74,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/M2LcdnNLboq","Mapate Cliniclinic",NULL,NULL,4
75,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/MfChw9iO4MQ","Makwe Rural Health Centre",NULL,NULL,4
76,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/mm2j4nL6ha9","Ntalale Clinic",NULL,NULL,4
10,"/Z9zOAr1dQ8K/gLRkKaY6yuS","Bulawayo Provincial Office",NULL,NULL,2
77,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/mQbanvNia3z","Selonga Rural Health Centre",NULL,NULL,4
78,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/N26tcya5qNw","Kafusi Clinic",NULL,NULL,4
79,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/nWY5DVISxvp","Lushongwe Clinic",NULL,NULL,4
80,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/OAYfFKYAty5","Stanmore Clinic",NULL,NULL,4
81,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/PvpAI8GMs3i","Mandihongola RHC",NULL,NULL,4
82,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/Sq0OXYtsjYO","Sengwezani Rural Health Centre",NULL,NULL,4
83,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/XssBk2TpOIJ","Mashaba Clinic",NULL,NULL,4
84,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/zrlHTputbK4","Pakama Clinic",NULL,NULL,4
85,"/Z9zOAr1dQ8K/kUS61oPWPF9/LHy36wzzZSr/zxAtMDQ2Qqc","Gwanda Provincial Hospital",NULL,NULL,4
86,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ","Bulilima",NULL,NULL,3
87,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/D79NwzzVJYp","Dombodema Clinic",NULL,NULL,4
88,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/dSsH9yE0duM","Village 13 Rural Health Centre",NULL,NULL,4
89,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/fQFZqhixGvs","Gambu Clinic",NULL,NULL,4
90,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/hNWAEAb2Nhd","Nyabane Clinic",NULL,NULL,4
91,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/KYBy3FfZcPu","Bezu Clinic",NULL,NULL,4
92,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/L0BhteRCV93","Solusi Clinic",NULL,NULL,4
93,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/mb8xNkQoiuv","Sikhatini Clinic",NULL,NULL,4
94,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/mCKQlE4o0Yr","Ndiweni Clinic",NULL,NULL,4
95,"/Z9zOAr1dQ8K/kUS61oPWPF9/nUBLdaaGcbJ/mJIpxNdl2QY","Madlambuzi Clinic",NULL,NULL,4
